,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr,id,year
1181,0,1,25.5,4.600499999999999,4.600499999999999,4.600499999999999,0.3067,0.9375,15.0,0.0,,22.8,24.5,Mitchell Wilcox,2022
1182,0,1,30.2,48.4992,23.133183333333335,48.4992,2.6740333333333335,0.5357142857142857,16.0,0.0,5.07,19.5,37.6,MyCole Pruitt,2022
1183,0,1,31.7,132.8,80.60000000000001,,,0.8541666666666666,,0.0,6.16,,14.6,Mychal Rivera,2022
1184,0,1,26.2,0.0,0.0,,0.0,0.0625,,0.0,,,6.3,Nate Becker,2022
1185,0,1,30.4,23.0,15.933333333333332,,,0.2916666666666667,,0.0,7.03,21.6,28.9,Neal Sterling,2022
1186,0,1,30.6,9.600000000000001,5.550000000000001,,,0.28125,,0.0,,21.9,15.3,Nic Jacobs,2022
1187,0,1,26.0,0.0,0.0,0.0,0.0,0.25,4.0,0.0,,23.3,17.6,Nick Bowers,2022
1188,0,1,29.3,75.0,35.71422857142857,1.2,3.128133333333334,0.640625,5.0,0.0,5.35,20.6,21.2,Nick Boyle,2022
1189,0,1,27.1,10.2992,10.2992,,0.6437,1.0,,0.0,,22.4,26.2,Nick Keizer,2022
1190,0,1,29.7,63.7,28.3,,3.7,0.5,,0.0,6.18,21.0,18.8,Nick O'Leary,2022
1191,0,1,28.2,73.5,33.60013333333333,28.300300000000004,2.8032000000000004,0.6785714285714286,7.0,0.0,3.32,,6.4,Nick Vannett,2022
1192,0,1,32.8,93.0,35.1,,,0.515625,,0.0,5.24,20.1,22.8,Niles Paul,2022
1193,0,1,24.5,159.0,139.5665,159.0,8.930266666666666,0.984375,16.0,0.0,1.2,19.8,27.0,Noah Fant,2022
1194,0,1,23.1,16.6,16.6,16.6,1.0375,1.0,16.0,0.0,5.18,18.4,19.7,Noah Gray,2022
1195,0,1,24.9,0.0,0.0,0.0,0.0,0.15625,1.0,0.0,,20.2,18.5,Noah Togiai,2022
1196,0,1,27.5,121.0,75.50003999999998,33.5002,5.7902,0.75,17.0,0.0,1.19,,15.2,O.J. Howard,2022
1197,0,1,31.3,7.2,4.266666666666667,,,0.22916666666666666,,0.0,4.21,,15.1,Orson Charles,2022
1198,0,1,39.6,124.50000000000001,119.85000000000001,,,0.96875,,0.0,4.01,22.8,16.5,Owen Daniels,2022
1199,0,1,23.6,151.6992,151.6992,151.6992,9.4812,1.0,16.0,0.0,2.23,19.9,24.8,Pat Freiermuth,2022
1200,0,1,28.1,42.2994,28.3998,38.1,2.1979333333333333,0.625,15.0,0.0,,22.3,18.9,Pharaoh Brown,2022
1201,0,1,32.3,14.0,8.5,,,0.265625,,0.0,,21.6,23.2,Phillip Supernaw,2022
1202,0,1,30.0,6.4,4.45,,,0.28125,,0.0,6.22,,7.7,Randall Telfer,2022
1203,0,1,24.8,9.5998,7.5999,5.6,0.5178499999999999,0.9375,16.0,0.0,,,3.5,Reggie Gilliam,2022
1204,0,1,34.4,60.0,42.71666666666667,,4.1,0.7232142857142857,,0.0,4.33,,8.2,Rhett Ellison,2022
1205,0,1,30.3,158.4,55.91424285714286,3.0999000000000003,3.0345000000000004,0.6607142857142857,3.0,0.0,3.34,,10.5,Richard Rodgers,2022
1206,0,1,27.0,75.0,50.60004,69.1002,3.938466666666667,0.5833333333333334,13.0,0.0,,,12.4,Ricky Seals-Jones,2022
1207,0,1,33.0,267.0,185.07160000000002,171.2004,11.799,0.8214285714285714,12.0,0.42857142857142855,2.1,18.3,19.1,Rob Gronkowski,2022
1208,0,1,34.2,21.6,14.55,,,0.53125,,0.0,3.05,20.5,24.3,Rob Housler,2022
1209,0,1,28.1,176.6,67.65,50.4,6.745833333333334,0.5875,8.0,0.0,,21.4,38.0,Robert Tonyan,2022
1210,0,1,27.3,49.5008,26.00005,15.0994,3.3273333333333333,0.5875,17.0,0.0,,21.6,29.6,Ross Dwelley,2022
1211,0,1,32.4,104.0,56.7749375,65.10000000000001,4.407766666666666,0.75,14.0,0.0,6.33,21.7,38.8,Ryan Griffin,2022
1212,0,1,26.4,30.900000000000002,18.099999999999998,0.0,2.158333333333333,0.390625,1.0,0.0,7.32,,15.2,Ryan Izzo,2022
1213,0,1,28.8,1.3,1.3,,,0.0625,,0.0,,,9.3,Ryan Malleck,2022
1214,0,1,36.8,115.2,94.19999999999999,,,0.875,,0.0,4.3,21.1,23.8,Scott Chandler,2022
1215,0,1,30.1,23.2,9.4,,1.0,0.234375,,0.0,,19.4,36.1,Scott Simonson,2022
1216,0,1,29.0,3.4,1.8666666666666665,,0.55,0.109375,,0.0,,,7.5,Sean Culkin,2022
1217,0,1,34.5,8.4,6.6000000000000005,,,0.3125,,0.0,,22.8,14.8,Sean McGrath,2022
1218,0,1,24.4,12.6999,6.34995,12.6999,0.70555,0.71875,9.0,0.0,,19.7,19.7,Sean McKeon,2022
1219,0,1,29.3,76.8,31.119999999999997,,1.85,0.4895833333333333,,0.0,4.4,,18.3,Seth Devalve,2022
1220,0,1,29.3,65.8,37.249975,38.4999,1.7136,0.875,17.0,0.0,,,12.4,Stephen Anderson,2022
1221,0,1,25.5,16.200000000000003,10.149600000000001,,1.4781,0.5833333333333334,,0.0,,20.7,28.1,Stephen Carlson,2022
1222,0,1,25.5,0.0,0.0,0.0,0.0,0.125,3.0,0.0,7.37,,9.2,Stephen Sullivan,2022
1223,0,1,24.9,175.3008,133.6668,145.2996,9.921533333333334,0.8125,12.0,0.0,1.08,21.2,24.0,T.J. Hockenson,2022
1224,0,1,27.5,7.100499999999999,3.8334999999999995,0.0,0.5818333333333333,0.328125,2.0,0.0,,20.8,22.6,Tanner Hudson,2022
1225,0,1,31.7,158.6208,105.7102,126.72,8.957933333333335,0.9125,12.0,0.0,,23.0,,Taysom Hill,2022
1226,0,1,28.8,2.0,0.6666666666666666,0.0,0.125,0.22916666666666666,2.0,0.0,6.02,,14.4,Temarrick Hemingway,2022
1227,0,1,32.1,87.10000000000001,57.900000000000006,,,0.625,,0.0,,,13.2,Timothy Wright,2022
1228,0,1,25.4,2.4,2.4,,2.4,0.0625,,0.0,7.26,,3.2,Tommy Stevens,2022
1229,0,1,26.9,19.5,19.44995,19.3999,2.69615,0.4791666666666667,13.0,0.0,7.14,21.2,19.6,Tommy Sweeney,2022
1230,0,1,22.0,53.1008,53.1008,53.1008,3.3188,1.0,16.0,0.0,3.19,,8.2,Tommy Tremble,2022
1231,0,1,35.0,27.599999999999998,21.299999999999997,,,0.34375,,0.0,3.29,22.2,25.8,Tony Moeaki,2022
1232,0,1,25.1,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,,22.4,21.5,Tony Poljan,2022
1233,0,1,32.6,312.7605,243.3950625,262.8,17.725233333333335,0.9861111111111112,16.0,0.75,3.01,22.9,27.6,Travis Kelce,2022
1234,0,1,23.4,10.4995,10.4995,10.4995,0.9545,0.6875,11.0,0.0,3.33,,11.3,Tre McKitty,2022
1235,0,1,26.7,6.8999999999999995,4.966799999999999,6.500399999999999,0.9889,0.46875,12.0,0.0,4.19,,5.7,Trevon Wesco,2022
1236,0,1,30.6,145.6,59.18572857142858,,4.6038499999999996,0.5859375,,0.0,,21.9,15.4,Trey Burton,2022
1237,0,1,26.9,22.0,18.8,,2.675,0.4166666666666667,,0.0,5.19,21.2,19.9,Troy Fumagalli,2022
1238,0,1,29.7,29.700000000000003,14.200000000000001,,,0.296875,,0.0,2.2,21.0,16.8,Troy Niklas,2022
1239,0,1,26.8,138.30010000000001,52.37502500000001,138.30010000000001,4.303433333333333,0.6375,17.0,0.0,5.2,21.1,24.1,Tyler Conklin,2022
1240,0,1,25.1,7.4997,3.74985,7.4997,0.28845,0.65625,13.0,0.0,6.27,21.4,14.7,Tyler Davis,2022
1241,0,1,31.7,191.1,75.78578571428571,,6.01335,0.5859375,,0.0,1.21,21.0,26.9,Tyler Eifert,2022
1242,0,1,29.4,161.0,97.90008333333334,147.0,9.9489,0.875,15.0,0.0,4.12,22.7,15.6,Tyler Higbee,2022
1243,0,1,29.6,124.50000000000001,40.08575714285714,39.3003,3.5522333333333336,0.5625,9.0,0.0,3.21,20.9,11.5,Tyler Kroft,2022
1244,0,1,32.0,133.5,64.64291428571428,,3.8893,0.734375,,0.0,2.23,20.2,26.6,Vance McDonald,2022
1245,0,1,38.3,121.6,79.75,,7.1,0.6964285714285714,,0.0,1.06,21.6,35.9,Vernon Davis,2022
1246,0,1,31.0,6.4,2.1333333333333333,,,0.16666666666666666,,0.0,4.24,23.2,22.9,Vince Mayle,2022
1247,0,1,33.8,52.0,32.75711428571429,,2.11665,0.6328125,,0.0,7.01,21.1,19.5,Virgil Green,2022
1248,0,1,25.9,73.80000000000001,55.1502,50.099999999999994,6.486266666666666,0.5875,15.0,0.0,4.2,,10.3,Will Dissly,2022
1249,0,1,30.6,104.0,68.2,,,0.6458333333333334,,0.0,,21.8,36.1,Will Tye,2022
1250,0,1,29.7,34.4,15.7,,0.6,0.325,,0.0,,,13.1,Xavier Grimble,2022
1251,0,1,31.5,280.0,181.5750375,180.6998,10.624966666666667,0.9236111111111112,17.0,0.375,2.03,21.8,31.8,Zach Ertz,2022
1252,0,1,25.7,35.7,12.366666666666667,35.7,1.1666666666666667,0.328125,17.0,0.0,5.03,,15.6,Zach Gentry,2022
1253,0,1,37.6,120.0,94.63333333333333,,,0.6458333333333334,,0.0,2.06,20.7,18.1,Zach Miller,2022
1254,0,1,36.5,13.5,13.5,,,0.1875,,0.0,2.06,20.7,18.1,Zach Miller,2022
1255,0,1,33.1,13.200000000000001,13.200000000000001,,,0.375,,0.0,,23.4,26.1,Zach Sudfeld,2022
