,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr,id,year
491,0,0,26.4,5.3875,3.4857,3.4910666666666668,0.0,,,5.6,Cam Sims,2022.0
492,0,0,26.4,2.75,2.75,2.625,0.0,,,13.5,Cameron Batson,2022.0
493,0,0,29.7,,,,,,22.0,30.0,Cameron Meredith,2022.0
494,0,0,34.4,,,,,4.17,20.7,40.8,Cecil Shorts,2022.0
495,0,0,23.1,14.55,14.55,14.0781,0.0,1.17,19.4,38.1,CeeDee Lamb,2022.0
496,0,0,28.0,3.5786,,3.2893,0.0,,,11.1,Chad Beebe,2022.0
497,0,0,27.4,9.32,,9.32,0.0,4.35,21.6,35.2,Chad Hansen,2022.0
498,0,0,27.6,0.0,,0.0,0.0,3.34,20.9,37.4,Chad Williams,2022.0
499,0,0,33.3,,,,,7.1,22.5,49.8,Charles Johnson,2022.0
500,0,0,29.6,,,,,7.2,,15.3,Charone Peake,2022.0
501,0,0,23.9,13.4313,11.1067,12.269,0.0,2.17,21.2,33.4,Chase Claypool,2022.0
502,0,0,28.4,4.6,4.0625,4.33125,0.0,,19.6,24.1,Chester Rogers,2022.0
503,0,0,29.6,9.7,4.0375,6.736933333333333,0.0,3.12,20.9,29.3,Chris Conley,2022.0
504,0,0,33.3,,,,,4.01,20.6,40.7,Chris Givens,2022.0
505,0,0,26.3,19.6,17.3143,17.610333333333333,1.0,3.2,19.5,34.9,Chris Godwin,2022.0
506,0,0,28.5,,,,,,,15.8,Chris Harper,2022.0
507,0,0,33.6,5.16,2.82,3.36,0.0,,,15.6,Chris Hogan,2022.0
508,0,0,26.3,2.2,,2.2,0.0,,,7.4,Chris Lacy,2022.0
509,0,0,32.7,,,,,,19.9,30.5,Chris Matthews,2022.0
510,0,0,29.0,4.6417,4.6417,1.8805666666666667,0.0,4.09,20.2,23.7,Chris Moore,2022.0
511,0,0,32.4,,,,,,19.7,21.1,Chris Owusu,2022.0
512,0,0,26.0,2.9,0.4062,1.6666666666666667,0.0,,,16.5,Christian Blake,2022.0
513,0,0,25.5,12.8,12.2129,11.823333333333332,0.0,2.15,18.8,36.8,Christian Kirk,2022.0
514,0,0,31.6,,,,,6.29,21.8,29.3,Cobi Hamilton,2022.0
515,0,0,28.1,2.9,,2.9,0.0,6.24,20.4,16.9,Cody Core,2022.0
516,0,0,28.5,3.3,2.4333,2.277766666666667,0.0,,,3.7,Cody Hollister,2022.0
517,0,0,29.6,4.7,,4.7,0.0,2.24,19.9,27.4,Cody Latimer,2022.0
518,0,0,26.4,0.0,0.0,0.0,0.0,,19.7,26.6,Cody Thompson,2022.0
519,0,0,33.1,13.8333,9.9562,11.963166666666666,0.0,,21.4,22.4,Cole Beasley,2022.0
520,0,0,24.7,4.2286,1.7917,3.0101500000000003,0.0,5.2,21.0,25.3,Collin Johnson,2022.0
521,0,0,29.0,25.8529,25.8529,18.888733333333334,0.6666666666666666,3.05,20.2,40.4,Cooper Kupp,2022.0
522,0,0,31.4,,,,,,21.6,26.7,Corey Brown,2022.0
523,0,0,27.9,,,,,1.15,20.2,44.2,Corey Coleman,2022.0
