,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
970,0,0,1,24.6,42.599999999999994,29.299999999999997,16.0,5.15,0.34375,5.0,0.0,2.13,20.9,36.4
976,0,0,1,23.0,,,,,,,,,,7.5
979,0,0,1,24.3,47.2,47.2,47.2,5.9,0.5,8.0,0.0,,19.5,35.2
980,0,0,1,26.0,11.700000000000001,8.100000000000001,11.700000000000001,1.4,0.375,9.0,0.0,,,12.0
982,0,0,1,24.6,161.6,115.06666666666666,161.6,7.633333333333333,0.9166666666666666,16.0,0.0,3.18,,17.4
985,0,0,1,25.3,8.0,5.066666666666666,7.2,0.9666666666666667,0.2708333333333333,8.0,0.0,,21.6,30.6
987,0,0,1,26.1,41.4,25.2,,3.05,0.46875,,0.0,7.12,,7.6
988,0,0,1,38.4,190.4,115.325,87.10000000000001,7.65,0.921875,13.0,0.0,1.32,,10.5
989,0,0,1,27.8,33.300000000000004,16.35,14.700000000000001,1.9333333333333336,0.390625,7.0,0.0,4.18,23.1,15.8
990,0,0,1,24.9,75.6,75.6,75.6,6.3,0.75,12.0,0.0,,,7.1
1002,0,0,1,26.4,105.6,46.599999999999994,105.6,5.3,0.5625,16.0,0.0,5.21,,9.0
1004,0,0,1,27.9,171.0,95.74000000000001,93.0,8.833333333333334,0.7375,15.0,0.0,,20.2,19.7
1005,0,0,1,25.7,0.0,0.0,,0.0,0.125,,0.0,,,10.8
1006,0,0,1,30.299999999999997,137.20000000000002,110.06000000000002,37.4,7.166666666666667,0.825,11.0,0.0,6.09,18.6,17.9
1007,0,0,1,22.8,,,,,,,,,,8.6
1012,0,0,1,23.3,113.39999999999999,113.39999999999999,113.39999999999999,8.1,0.875,14.0,0.0,4.07,,18.0
1015,0,0,1,27.6,87.0,61.1,,4.3,0.75,,0.0,3.04,20.9,23.9
1017,0,0,1,26.5,,,,,,,,,24.7,20.3
1027,0,0,1,24.4,91.0,91.0,91.0,6.5,0.875,14.0,0.0,2.17,21.7,30.7
1029,0,0,1,22.9,23.8,23.8,23.8,3.4,0.4375,7.0,0.0,4.37,,11.4
1030,0,0,1,24.2,32.9,32.9,32.9,4.7,0.4375,7.0,0.0,,20.5,38.4
1031,0,0,1,27.0,34.2,24.233333333333334,,4.3,0.3958333333333333,,0.0,,21.3,24.1
1035,0,0,1,24.5,5.4,2.7,0.0,0.45,0.3125,4.0,0.0,,,11.8
1036,0,0,1,26.7,30.4,16.633333333333333,15.600000000000001,4.5,0.2916666666666667,3.0,0.0,6.28,22.0,32.1
1040,0,0,1,22.9,144.0,119.2,144.0,7.75,0.96875,15.0,0.0,1.29,20.2,24.6
1042,0,0,1,22.5,,,,,,,,3.32,,4.2
1043,0,0,1,34.8,243.0,157.92000000000002,9.2,10.866666666666665,0.775,1.0,0.0,6.06,20.1,30.4
1045,0,0,1,24.2,,,,,,,,,22.5,22.6
1046,0,0,1,28.8,37.4,19.08,20.0,1.9666666666666668,0.4375,8.0,0.0,,18.1,66.4
1052,0,0,1,23.1,,,,,,,,2.2,,10.5
1053,0,0,1,23.8,10.8,10.8,10.8,1.8,0.375,6.0,0.0,4.23,,8.8
1058,0,0,1,26.1,222.4,136.98,222.4,11.1,0.8875,16.0,0.0,1.1,19.4,18.8
1059,0,0,1,25.1,10.0,5.0,10.0,1.0,0.21875,5.0,0.0,5.31,20.4,31.6
1060,0,0,1,27.1,26.4,13.933333333333332,15.399999999999999,1.5666666666666664,0.4166666666666667,11.0,0.0,,,9.6
