,Full Name,0,1,fpts_2021
239,Jason Moore,0.9932763,0.0067237117,8.6
240,Kylen Granson,0.99329,0.006709978,21.6002
241,Jacob Harris,0.9936702,0.0063298033,0.0
242,Tyler Higbee,0.99368757,0.006312456,147.0
243,Chuba Hubbard,0.9937167,0.0062832953,137.59969999999998
244,Rashaad Penny,0.9937358,0.006264228,121.7
245,Tavon Austin,0.9937373,0.006262744,51.3994
246,Maxx Williams,0.9938714,0.0061286367,41.3
247,Tajae Sharpe,0.99391663,0.006083381,48.0
248,Donovan Peoples-Jones,0.9939283,0.006071681,109.6998
249,Rhamondre Stevenson,0.99395674,0.0060432563,114.80040000000001
250,John Brown,0.9940231,0.005976921,0.0
251,Cole Kmet,0.99405706,0.0059429198,121.19980000000001
252,Josh Johnson,0.9940601,0.0059398836,0.0
253,Josh Johnson,0.9940601,0.0059398836,0.0
254,Tavien Feaster,0.9940601,0.0059398836,0.0
255,Kenny Yeboah,0.9940961,0.0059039146,5.5998
256,Trinity Benson,0.9941477,0.005852271,20.3
257,Patrick Taylor,0.99416393,0.0058360943,17.2
258,Cody Thompson,0.9942619,0.0057380735,0.0
259,Luke Farrell,0.9942704,0.0057296217,12.6
260,Tyrell Williams,0.99432945,0.0056705507,3.4
261,Zach Pascal,0.9944109,0.0055891536,94.4992
262,Andy Isabella,0.99443096,0.0055690664,2.3
263,Tim Patrick,0.9944491,0.0055509275,156.4
264,Jordan Veasy,0.9945231,0.0054769055,0.0
265,Matt Bushman,0.9945599,0.005440129,0.0
266,Tarik Black,0.9945859,0.005414149,2.0
267,Ty'Son Williams,0.994616,0.0053840005,41.9003
268,Marquez Callaway,0.9946412,0.005358821,151.79979999999998
269,Derrick Gore,0.99467987,0.0053201225,56.099999999999994
270,Nick Bowers,0.99467987,0.0053201225,0.0
271,Tre'Quan Smith,0.99470437,0.0052956445,87.69969999999999
272,Alexander Mattison,0.9947061,0.005293889,125.9008
273,Travis Homer,0.9947061,0.005293889,61.8002
274,Harrison Bryant,0.9947061,0.005293889,62.2992
275,Devonta Freeman,0.9948058,0.005194188,146.6
276,Mitchell Wilcox,0.9948356,0.0051643713,4.600499999999999
277,Tony Poljan,0.9948356,0.0051643713,0.0
