,id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,value
131,cb618523-b22c-40d6-825c-a0ced8339239,Tyrion,Davis-Price,165.6,38.37004162,RB50,RB,San Francisco 49ers,34.6
132,8a3572ad-6dd9-41a8-b10a-9e3a08c51a0a,Alec,Pierce,159.5,37.35117362,WR72,WR,Indianapolis Colts,27.5
133,73262cfc-d608-41ec-9e7c-d943b005ed6d,K.J.,Osborn,151.7,37.04602362,WR68,WR,Minnesota Vikings,18.7
134,4fa812b0-6025-4be1-8d18-c7ffd4e809db,Treylon,Burks,72.2,36.7389787,WR36,WR,Tennessee Titans,-61.8
135,99520aa3-7f8b-4f6d-b9ee-20e5d93a293a,Jerry,Jeudy,41.5,36.1923787,WR19,WR,Denver Broncos,-93.5
136,e9eddef5-97d8-4bb1-82a6-ee01fad8eb2a,Jahan,Dotson,143.8,36.12049849,WR65,WR,Washington Commanders,7.8
137,2e5f5210-fe46-43d8-96be-59ee217dcef7,Kendrick,Bourne,193.2,35.99128467,WR85,WR,New England Patriots,56.2
138,d59b3350-b448-4295-b4cf-dfa6924b7c65,Kareem,Hunt,97,35.60137362,RB32,RB,Cleveland Browns,-41
139,c526e0f8-989f-42fd-8371-6f8d0ef019c2,Evan,Engram,184.8,35.18742249,TE24,TE,Jacksonville Jaguars,45.8
140,8a859a75-4198-4e3a-854b-784dce6b5c12,Rashaad,Penny,117.2,34.68617267,RB37,RB,Seattle Seahawks,-22.8
141,7c1ae2b9-d7d0-403a-8e4d-11491efe3c71,Melvin,Gordon,110.8,34.2757387,RB36,RB,Denver Broncos,-30.2
142,441a06ff-6630-4ca0-b034-1c9549538ea0,Terrace,Marshall,215,34.11201449,WR107,WR,Carolina Panthers,73
143,2ea3b599-18c1-4dda-a833-1f23c73cf5c2,Jamaal,Williams,180,33.66296449,RB54,RB,Detroit Lions,37
144,8d03fa8e-237f-400f-9ac0-af377d8a25d2,Kenyan,Drake,212.5,33.35886162,RB64,RB,Las Vegas Raiders,68.5
145,4e5411e9-68dc-400f-beeb-968e8a7e3cf2,Alexander,Mattison,123.8,33.08870962,RB39,RB,Minnesota Vikings,-21.2
146,ced268be-84de-4700-9ba4-40645752b278,Myles,Gaskin,215.9,32.96554962,RB89,RB,Miami Dolphins,69.9
147,457cee57-e888-423f-9149-93c48c357a4a,Michael,Gallup,113.5,31.2951845,WR54,WR,Dallas Cowboys,-33.5
148,3aaf419b-21c4-46ee-a11e-9a489b673b79,Matthew,Stafford,92.5,30.854682,QB12,QB,Los Angeles Rams,-55.5
149,a85826fc-9b78-466c-8f60-cdb615c1c709,Trey,Sermon,215.1,30.6962285,RB70,RB,San Francisco 49ers,66.1
150,154cdf35-e606-46c6-9fb8-840265bacc03,James,Washington,204.6,29.2895945,WR92,WR,Dallas Cowboys,54.6
151,b642a6fb-b8d2-4ee3-8456-39a2c64d2364,D'Onta,Foreman,198.5,27.7279385,RB59,RB,Carolina Panthers,47.5
152,46aab98a-7d30-4ba0-8576-7902eb89b2d5,Tyler,Conklin,215.9,27.3535785,TE43,TE,NY Jets,63.9
153,f65d1b9b-c5b5-436a-923f-cdb0a0357d9c,Zay,Jones,211.4,27.0629285,WR96,WR,Jacksonville Jaguars,58.4
154,c170afa4-4767-405c-b005-4498480e7066,Darren,Waller,41.1,26.8691005,TE4,TE,Las Vegas Raiders,-112.9
155,5e26c57d-42dd-406f-b53d-91095594e37a,Brian,Robinson,192.4,25.5727805,RB57,RB,Washington Commanders,37.4
156,2b6c0a54-bab3-4b69-b2f9-2dc2a9e30982,Rachaad,White,131.8,25.5727805,RB42,RB,Tampa Bay Buccaneers,-24.2
157,01fd583b-8443-4655-a727-6a5b28e7621a,Bryan,Edwards,208.3,25.1344285,WR94,WR,Atlanta Falcons,51.3
158,f6bddcbd-f697-4bde-a65a-d2b6eb83797b,Marquez,Callaway,215.5,25.0542385,WR111,WR,New Orleans Saints,57.5
159,5b4b97b6-1e40-45ce-880d-6c6324cd5e78,JuJu,Smith-Schuster,55.9,24.4656825,WR27,WR,Kansas City Chiefs,-103.1
160,198686d1-f9ea-4594-9be0-7fdc6a724d85,Geno,Smith,215.9,24.310683,QB43,QB,Seattle Seahawks,55.9
161,e86c1ded-aef1-41f4-bbfe-c3a04d4b47c4,Tyler,Higbee,162.9,23.7592225,TE20,TE,Los Angeles Rams,1.9
162,80427c89-ba52-4081-9cbf-a11aa025ee74,Dyami,Brown,216,22.9652105,WR145,WR,Washington Commanders,54
163,982ba4ec-f6d4-4fff-8f66-054ef4715196,Duke,Johnson,216,22.8067645,RB98,RB,Buffalo Bills,53
164,1dcdafa9-9c27-4326-8c2b-055534c924b3,Allen,Lazard,95.6,22.6485985,WR45,WR,Green Bay Packers,-68.4
165,6d985cdb-03f3-4365-ae50-dbd6a121540f,Carson,Wentz,202,21.3084765,QB27,QB,Washington Commanders,37
166,035c99ef-ed2a-4fcd-aa6f-e752f4565695,Jakobi,Meyers,135,21.2749633,WR62,WR,New England Patriots,-31
