,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
30,0,0,23.2,,,,,,,0.189780585,20.5,,
31,0,1,29.1,398.4,308.75,313.6,20.7,0.5,1.01,1.653784566,21.3,6.5,0.953125
32,0,0,26.9,,,,,,6.38,1.653784566,22.1,,
33,0,0,22.2,,,,,,,1.653784566,18.5,,
34,0,0,25.2,0.6,0.6,0.6,0.6,0.0,,1.653784566,19.5,0.0,0.0625
35,0,1,25.4,280.8,251.60000000000002,280.8,17.75,0.0,1.02,1.216297214,21.7,1.0,0.90625
36,0,0,24.7,7.6,7.6,7.6,7.6,0.0,6.12,1.216297214,19.9,0.0,0.0625
37,0,0,29.4,129.6,74.45,35.7,9.533333333333333,0.0,3.25,1.216297214,20.6,0.25,0.4375
38,0,1,30.299999999999997,243.0,108.625,243.0,12.433333333333332,0.0,,0.4714195439999999,19.6,0.5,0.5
39,0,0,24.2,,,,,,7.35,0.4714195439999999,21.4,,
40,0,0,32.9,162.0,48.15,-0.4,3.4666666666666672,0.0,2.26,2.27614162,20.2,0.0,0.328125
41,1,1,22.7,11.4,11.4,11.4,11.4,0.0,1.1,2.27614162,19.0,0.0,0.0625
42,0,0,31.700000000000003,11.8,3.0500000000000003,-0.2,0.13333333333333333,0.0,,0.839956293,19.9,0.0,0.09375
43,0,1,23.8,139.2,139.2,139.2,11.6,0.0,1.02,0.839956293,22.0,2.0,0.75
44,0,1,24.8,291.2,282.4,273.6,17.65,0.0,4.37,1.298836498,20.1,6.0,1.0
45,0,1,27.2,284.8,241.65,213.0,16.533333333333335,0.0,2.04,0.29658088,20.4,0.0,0.96875
46,0,0,32.1,2.0,2.0,,1.0,0.0,5.25,0.29658088,19.3,0.0,0.125
47,0,0,24.1,15.2,15.2,15.2,3.8,0.0,5.28,0.29658088,21.3,0.0,0.25
48,1,1,39.4,347.2,313.525,270.4,19.9,0.75,2.01,2.345428517,19.6,1.5,0.984375
49,0,0,25.6,208.0,131.29999999999998,-1.3,5.85,0.0,1.32,2.345428517,18.8,1.3333333333333333,0.625
50,0,1,37.4,300.8,256.25,201.0,15.733333333333333,0.25,1.01,1.388428417,20.7,0.5,0.984375
51,0,0,23.2,,,,,,4.08,1.388428417,,,
52,0,0,27.7,163.8,50.85,9.6,10.1,0.0,2.07,1.57443667,19.9,0.25,0.296875
53,0,1,36.5,292.8,284.0,280.0,17.766666666666666,0.0,1.04,1.57443667,18.7,0.0,1.0
54,0,1,24.4,286.4,255.26666666666668,210.6,16.96666666666667,0.0,1.01,1.080716811,19.7,2.6666666666666665,0.9375
55,0,0,35.5,300.8,179.7,76.8,14.200000000000001,0.25,7.36,1.080716811,20.8,1.0,0.75
56,1,1,23.6,262.5,161.35,262.5,13.05,0.0,1.01,2.01116402,18.9,1.0,0.6875
57,0,0,26.1,5.0,1.9666666666666668,5.0,0.6333333333333333,0.0,3.25,2.01116402,20.4,0.0,0.14583333333333334
58,0,1,33.4,275.2,223.39999999999998,196.8,15.033333333333331,0.0,1.18,0.396864746,21.6,2.0,0.90625
59,0,0,21.4,,,,,,1.32,0.396864746,18.7,,
60,0,0,28.299999999999997,213.2,125.43333333333332,,15.149999999999999,0.0,1.02,0.396864746,18.6,1.0,0.5625
61,0,0,38.9,214.5,135.825,214.5,14.733333333333334,0.0,3.16,0.240152153,,2.25,0.578125
62,0,1,21.0,,,,,,1.03,0.240152153,19.3,,
63,0,1,21.3,,,,,,1.1,1.047630362,18.6,,
64,0,0,28.5,166.4,76.9,38.8,9.833333333333334,0.0,3.11,1.047630362,21.7,0.0,0.375
65,0,0,30.6,226.5,154.03333333333333,27.0,14.5,0.0,1.01,1.047630362,19.8,0.0,0.6458333333333334
66,0,1,29.799999999999997,312.0,250.3,291.2,18.833333333333332,0.5,4.07,0.921687077,21.0,3.25,0.84375
67,0,0,36.1,72.0,30.175000000000004,4.4,5.2,0.0,7.16,1.03548086,,0.0,0.265625
68,0,1,30.299999999999997,302.4,282.8,280.0,18.133333333333333,0.25,1.01,1.03548086,19.6,1.25,1.0
69,1,1,33.1,350.4,283.6,240.0,17.466666666666665,0.25,1.03,1.43276198,20.3,0.0,1.0
70,0,0,37.0,30.6,9.700000000000001,,7.7,0.0,3.27,1.43276198,21.2,0.0,0.14583333333333334
71,1,1,29.5,355.2,327.2,355.2,20.3,0.75,3.12,0.435971884,19.8,2.75,1.0
0,0,0,28.7,57.4,20.066666666666666,0.2,0.7000000000000001,0.0,5.24,1.128670945,21.0,0.0,0.22916666666666666
1,1,1,23.7,340.8,256.85,340.8,23.0,0.5,1.12,1.128670945,20.0,3.5,0.71875
2,0,1,35.5,382.4,296.91999999999996,308.8,20.866666666666664,0.8,1.24,1.073120423,19.8,1.8,0.8875
3,0,0,24.7,,,,,,,1.073120423,,,
4,0,0,31.6,8.0,8.0,,,0.0,,1.01139842,,0.0,0.0625
5,0,0,22.0,,,,,,1.06,1.01139842,19.3,,
6,0,1,38.4,300.8,253.95999999999998,244.8,14.566666666666668,0.2,1.01,1.01139842,20.7,0.6,0.9875
7,0,1,31.6,268.8,233.6,185.9,15.866666666666667,0.0,2.03,1.179104603,20.9,2.2,0.9
8,0,0,24.4,,,,,,4.02,1.179104603,21.7,,
9,0,1,24.1,250.6,250.6,250.6,17.9,0.0,1.01,3.088713376,18.4,0.0,0.875
10,0,0,27.9,1.6,1.6,1.6,1.6,0.0,6.38,3.088713376,22.1,0.0,0.0625
11,0,1,37.3,348.8,282.28,348.8,19.433333333333334,0.4,1.11,1.365334638,19.5,0.8,0.9125
12,0,0,23.1,,,,,,,1.365334638,,,
13,0,0,23.9,,,,,,3.12,1.365334638,20.1,,
14,0,0,27.4,332.8,247.68,184.6,15.933333333333332,0.2,1.03,2.865784097,20.7,1.6,0.9375
15,0,1,24.6,318.4,213.69999999999996,318.4,15.333333333333334,0.3333333333333333,1.01,2.865784097,18.9,1.3333333333333333,0.7916666666666666
16,0,0,26.7,,,,,,6.26,0.7816331099999999,21.0,,
17,0,0,21.6,,,,,,2.1,0.7816331099999999,18.8,,
18,0,1,34.4,275.2,207.33999999999997,143.1,14.6,0.0,1.18,0.7816331099999999,21.6,1.6,0.8375
19,0,0,26.0,133.1,66.35,,6.0,0.0,5.11,0.7051460439999999,19.2,1.0,0.46875
20,0,1,21.8,,,,,,1.01,0.7051460439999999,21.1,,
21,0,0,33.6,173.8,98.10000000000001,-0.5,6.666666666666667,0.0,,1.339374444,,0.2,0.575
22,0,1,26.5,212.8,80.06666666666666,-0.8,7.500000000000001,0.0,3.29,1.339374444,21.7,1.6666666666666667,0.4791666666666667
23,0,1,30.1,398.4,305.24,291.2,19.333333333333332,0.4,1.01,1.368189545,21.3,6.0,0.9375
24,0,0,23.2,26.6,26.6,26.6,13.3,0.0,,1.368189545,18.5,1.0,0.125
25,0,0,24.2,,,,,,3.36,1.368189545,22.4,,
26,0,1,26.4,280.8,233.73333333333335,198.0,17.833333333333332,0.0,1.02,1.335377486,21.7,0.6666666666666666,0.8333333333333334
27,0,0,39.9,214.5,113.61999999999998,24.8,11.299999999999999,0.0,3.16,1.335377486,,1.8,0.5125
28,0,1,31.299999999999997,243.0,132.98,230.4,14.266666666666666,0.0,,0.470374147,19.6,0.8,0.6
29,0,0,32.8,66.0,35.03333333333333,30.3,10.1,0.0,3.21,0.470374147,20.0,0.3333333333333333,0.20833333333333334
30,0,0,22.1,,,,,,1.15,0.470374147,21.3,,
31,0,0,32.7,31.6,8.760000000000002,31.6,2.766666666666667,0.0,,0.98905628,19.9,0.0,0.125
32,0,1,24.8,267.4,203.29999999999998,267.4,15.350000000000001,0.0,1.02,0.98905628,22.0,2.5,0.8125
33,1,1,25.8,291.2,284.8,289.6,17.8,0.0,4.37,1.41006317,20.1,6.0,1.0
34,0,0,23.8,,,,,,,0.74616293,20.1,,
35,0,0,26.1,84.8,84.8,84.8,10.6,0.0,6.32,0.74616293,18.4,2.0,0.5
36,0,1,31.299999999999997,302.4,270.72,222.4,16.466666666666665,0.2,1.01,0.74616293,19.6,1.0,1.0
37,0,1,28.2,284.8,238.11999999999998,224.0,15.266666666666666,0.0,2.04,0.8980739,20.4,0.2,0.975
38,0,0,29.5,166.4,63.720000000000006,11.0,7.3999999999999995,0.0,3.11,0.8980739,21.7,0.0,0.325
39,0,1,40.4,347.2,312.32,307.5,19.7,0.8,2.01,1.700092415,19.6,2.0,0.975
40,0,0,26.6,208.0,100.57499999999999,8.4,0.4,0.0,1.32,1.700092415,18.8,1.0,0.53125
41,0,0,23.0,,,,,,6.05,0.71803074,21.3,,
42,0,1,30.4,129.6,75.36,79.0,11.633333333333335,0.0,3.25,0.71803074,20.6,0.2,0.4125
43,1,1,25.4,286.4,243.97500000000002,210.1,17.366666666666667,0.0,1.01,1.534354181,19.7,2.25,0.875
44,0,0,29.5,,,,,,,1.534354181,22.8,,
45,0,0,22.8,,,,,,4.31,0.891325904,19.1,,
46,0,1,41.8,352.0,297.36,291.2,19.46666666666667,0.2,6.33,0.891325904,21.1,1.0,0.95
47,0,1,27.6,91.8,37.42,48.9,12.466666666666669,0.0,2.3,1.493186455,19.8,0.2,0.3
48,0,0,24.2,131.2,131.2,131.2,16.4,0.0,,1.493186455,20.5,0.0,0.5
49,0,1,23.0,218.4,218.4,218.4,18.2,0.0,1.07,1.43014391,20.3,8.0,0.75
50,0,0,28.7,84.7,27.425000000000004,21.1,16.6,0.0,4.01,1.43014391,20.0,0.0,0.1875
51,0,0,22.3,124.6,124.6,124.6,8.9,0.0,1.1,0.4599537099999999,18.6,0.0,0.875
52,0,1,36.5,300.8,178.95999999999998,176.0,15.266666666666666,0.2,7.36,0.4599537099999999,20.8,1.2,0.7
53,0,1,30.799999999999997,312.0,257.52,286.4,18.533333333333335,0.4,4.07,1.05349462,21.0,2.8,0.875
54,0,0,27.1,5.0,1.475,0.0,0.2333333333333333,0.0,3.25,1.05349462,20.4,0.0,0.15625
55,1,1,22.4,160.0,160.0,160.0,10.0,0.0,1.32,0.5304916749999999,18.7,5.0,1.0
56,0,0,29.299999999999997,213.2,94.27499999999999,0.8,7.15,0.0,1.02,0.5304916749999999,18.6,0.75,0.453125
57,0,0,23.8,,,,,,6.24,0.5304916749999999,21.0,,
58,0,0,24.4,,,,,,6.25,0.4652714289999999,19.7,,
59,0,1,22.0,183.3,183.3,183.3,14.1,0.0,1.03,0.4652714289999999,19.3,1.0,0.8125
60,0,0,27.4,196.0,111.86666666666667,,13.35,0.0,,0.4652714289999999,21.7,0.3333333333333333,0.5416666666666666
61,0,1,25.6,268.5,222.625,183.4,15.333333333333334,0.0,1.02,0.986214073,18.9,2.75,0.875
62,0,0,30.9,291.2,226.77499999999998,148.5,14.45,0.0,1.08,0.986214073,22.1,0.75,0.875
63,0,0,34.8,57.6,26.25,,13.0,0.0,,1.878619554,22.1,0.0,0.171875
64,0,1,23.7,427.2,219.29999999999998,427.2,19.05,0.5,1.1,1.878619554,19.0,1.0,0.53125
65,0,1,34.1,356.8,298.24,356.8,19.733333333333334,0.4,1.03,1.238661712,20.3,0.6,1.0
66,0,0,38.0,30.6,7.275,0.0,0.05,0.0,3.27,1.238661712,21.2,0.0,0.140625
67,0,1,37.5,292.8,284.48,286.4,17.633333333333333,0.0,1.04,1.633533784,18.7,0.0,1.0
68,0,0,29.799999999999997,274.4,163.44,43.6,14.733333333333333,0.0,6.15,1.633533784,20.1,3.0,0.6125
69,1,1,30.5,355.2,322.56,304.0,19.466666666666665,0.8,3.12,1.135586141,19.8,2.2,1.0
0,0,0,29.7,57.4,19.5,17.8,3.4333333333333336,0.0,5.24,1.037354097,21.0,0.25,0.203125
1,1,1,24.7,340.8,281.23333333333335,330.0,22.666666666666668,0.6666666666666666,1.12,1.037354097,20.0,4.666666666666667,0.7916666666666666
2,1,1,36.5,382.4,293.56666666666666,276.8,18.666666666666668,0.6666666666666666,1.24,1.47348569,19.8,1.6666666666666667,0.90625
3,0,0,25.7,0.0,0.0,0.0,0.0,0.0,,1.47348569,,0.0,0.1875
4,0,0,36.1,300.0,234.21999999999997,,17.15,0.0,1.01,0.86513313,19.3,2.0,0.8875
5,0,1,23.1,81.9,81.9,81.9,9.1,0.0,1.15,0.86513313,21.3,0.0,0.5625
6,0,0,24.2,193.7,110.14999999999999,193.7,14.100000000000001,0.0,,0.86513313,18.5,1.5,0.46875
7,0,0,27.2,17.0,8.8,,2.0,0.0,,0.86513313,19.5,0.0,0.1875
8,0,0,32.6,268.8,230.20000000000002,213.2,15.733333333333333,0.0,2.03,1.935264905,20.9,2.5,0.8854166666666666
9,0,0,23.5,,,,,,7.17,1.935264905,,,
10,0,1,26.8,347.2,300.4,347.2,18.96666666666667,0.25,4.37,1.935264905,20.1,5.25,1.0
11,0,1,25.1,250.6,249.3,248.0,16.7,0.0,1.01,2.620136174,18.4,1.5,0.9375
12,0,0,32.3,243.0,128.81666666666666,108.0,13.800000000000002,0.0,,2.620136174,19.6,0.8333333333333334,0.6041666666666666
13,0,0,28.9,1.6,0.55,-0.5,0.75,0.0,6.38,2.620136174,22.1,0.0,0.1875
14,0,1,38.3,348.8,237.5333333333333,13.8,15.566666666666665,0.3333333333333333,1.11,1.110652307,19.5,0.6666666666666666,0.78125
15,0,0,25.4,2.0,2.0,,0.4,0.0,4.29,1.110652307,19.6,0.0,0.3125
16,0,0,24.9,118.0,118.0,118.0,11.8,0.0,3.12,1.110652307,20.1,0.0,0.625
17,0,0,30.6,136.8,64.74,,8.85,0.0,1.1,2.793729022,19.9,0.6,0.35
18,0,0,25.4,26.7,26.7,26.7,8.9,0.0,4.02,2.793729022,21.7,0.0,0.1875
19,1,1,42.8,352.0,292.8666666666666,270.4,17.933333333333334,0.16666666666666666,6.33,2.793729022,21.1,1.3333333333333333,0.9583333333333334
20,0,0,27.7,34.5,34.5,34.5,11.5,0.0,6.26,1.633299019,21.0,0.0,0.1875
21,0,1,23.5,,,,,,1.01,1.633299019,21.7,,
22,0,0,23.9,,,,,,,1.42297561,19.2,,
23,0,1,22.6,71.0,71.0,71.0,14.2,0.0,2.1,1.42297561,18.8,0.0,0.3125
24,0,0,27.1,84.8,73.0,61.2,15.5,0.0,6.32,1.42297561,18.4,1.5,0.34375
25,0,0,23.3,,,,,,,1.42297561,,,
26,0,0,34.6,173.8,85.95,25.2,4.333333333333333,0.0,,0.374483479,,0.16666666666666666,0.5208333333333334
27,0,1,31.1,398.4,257.3,17.6,16.400000000000002,0.3333333333333333,1.01,0.374483479,21.3,5.0,0.8020833333333334
28,0,0,23.8,-0.6,-0.6,-0.6,-0.2,0.0,4.31,0.374483479,19.1,0.0,0.1875
29,0,0,26.5,94.8,88.4,,16.1,0.0,3.4,1.30226548,21.8,2.0,0.34375
30,0,1,28.6,256.0,73.85000000000001,256.0,15.866666666666667,0.0,2.3,1.30226548,19.8,0.3333333333333333,0.4166666666666667
31,0,0,25.2,131.2,65.44999999999999,-0.3,8.049999999999999,0.0,,1.30226548,20.5,0.0,0.28125
32,0,1,27.4,280.8,244.9,278.4,19.0,0.0,1.02,1.113165653,21.7,0.75,0.875
33,0,0,21.8,,,,,,2.21,1.113165653,18.1,,
34,0,0,26.7,7.6,6.1,,4.949999999999999,0.0,6.12,1.113165653,19.9,0.0,0.09375
35,0,0,34.9,162.0,38.82,,0.65,0.0,2.26,1.786027793,20.2,0.0,0.275
